Response,Word played,Morph played,Device,Reaction time
0,Bein,60,h,0
0,Buch,50,s,0
1,Wurm,30,s,358
0,Helm,_0,h,0
0,Huhn,80,s,0
0,Bein,40,h,0
0,Heim,60,s,0
0,Helm,40,s,0
0,Wurm,100,s,0
1,Buch,20,h,421
0,Heim,100,h,0
0,Helm,30,h,0
0,Lamm,80,h,0
0,Buch,10,h,0
1,Lamm,10,s,453
1,Heim,_0,s,531
1,Wurm,20,s,267
0,Bein,50,h,0
1,Huhn,30,s,236
0,Helm,40,s,0
0,Bahn,50,s,0
1,Arm,10,h,250
1,Baum,10,s,234
1,Arm,_0,s,329
1,Huhn,20,h,265
1,Buch,60,s,406
0,Wurm,100,s,0
1,Baum,_0,h,283
0,Heim,30,h,0
0,Helm,80,s,0
1,Wurm,50,h,811
0,Arm,100,h,0
0,Bein,60,h,0
1,Huhn,20,s,217
0,Lamm,40,h,0
0,Helm,80,h,0
1,Wurm,50,h,423
0,Heim,80,s,0
1,Baum,20,h,1187
1,Wurm,50,s,391
1,Arm,10,s,280
0,Bein,30,h,0
0,Wurm,100,h,0
1,Bein,_0,s,686
0,Heim,100,s,0
1,Huhn,40,s,410
1,Arm,10,h,250
1,Huhn,_0,h,406
1,Arm,20,s,234
0,Buch,60,s,0
0,Baum,80,h,0
1,Heim,40,h,576
0,Bein,30,s,0
0,Huhn,60,h,0
0,Heim,60,s,0
1,Helm,10,s,298
0,Heim,100,s,0
1,Helm,_0,s,157
1,Lamm,30,h,374
0,Helm,80,s,0
1,Bahn,30,s,235
1,Buch,20,s,688
1,Huhn,_0,h,451
0,Helm,80,h,0
0,Bein,50,s,0
1,Huhn,40,h,356
1,Buch,50,h,763
1,Baum,10,h,218
1,Huhn,20,h,265
0,Helm,100,h,0
1,Heim,60,h,656
1,Helm,40,s,312
1,Arm,50,s,344
0,Huhn,80,s,0
0,Bein,50,h,0
0,Baum,30,h,0
0,Bein,10,h,0
1,Helm,_0,h,346
0,Huhn,100,s,0
0,Heim,60,s,0
0,Bein,20,h,0
0,Helm,40,h,0
0,Wurm,100,h,0
1,Bahn,30,s,663
0,Buch,40,s,0
0,Baum,80,h,0
1,Helm,_0,s,188
0,Lamm,60,h,0
1,Heim,20,s,247
0,Bein,10,s,0
0,Arm,60,h,0
0,Buch,40,s,0
1,Heim,20,s,1355
0,Buch,10,h,0
0,Heim,100,h,0
1,Bahn,10,s,440
0,Baum,50,s,0
1,Buch,_0,s,546
0,Lamm,80,s,0
1,Wurm,20,h,328
0,Baum,60,s,0
1,Buch,_0,h,376
0,Lamm,50,h,0
0,Arm,100,s,0
0,Bein,80,h,0
0,Buch,40,h,0
1,Heim,30,s,264
1,Arm,30,h,404
0,Lamm,80,h,0
1,Baum,10,h,419
0,Lamm,50,h,0
0,Bein,40,h,0
0,Lamm,60,h,0
1,Buch,10,s,732
1,Huhn,40,s,281
0,Buch,20,s,0
1,Huhn,_0,s,281
0,Bahn,60,s,0
0,Lamm,30,h,0
1,Heim,30,s,342
1,Huhn,_0,h,330
0,Arm,50,s,0
0,Wurm,80,s,0
1,Lamm,20,h,220
0,Wurm,100,h,0
0,Lamm,100,s,0
0,Helm,80,h,0
1,Bahn,20,s,175
0,Lamm,100,h,0
1,Buch,50,s,325
0,Bahn,60,s,0
1,Arm,40,s,406
0,Buch,80,s,0
0,Bahn,30,h,0
1,Lamm,30,s,231
0,Bein,_0,h,0
1,Helm,10,s,468
0,Wurm,60,h,0
0,Bahn,50,h,0
0,Buch,100,s,0
1,Wurm,20,h,1201
0,Baum,40,h,0
1,Heim,10,h,1861
0,Bein,_0,s,0
0,Buch,80,h,0
1,Huhn,_0,s,1043
0,Wurm,50,s,0
0,Buch,20,s,0
0,Helm,100,h,0
0,Baum,30,h,0
0,Bein,10,h,0
0,Buch,60,h,0
0,Heim,80,s,0
1,Baum,20,h,514
1,Wurm,10,s,1405
0,Bein,40,h,0
0,Buch,40,s,0
0,Arm,100,s,0
0,Wurm,60,s,0
0,Buch,30,s,0
0,Wurm,50,h,0
0,Heim,_0,h,0
0,Helm,20,h,0
0,Heim,60,s,0
0,Helm,100,h,0
1,Lamm,10,h,389
1,Buch,30,s,514
0,Bein,40,h,0
0,Helm,80,h,0
0,Huhn,50,h,0
0,Wurm,50,s,0
0,Heim,100,s,0
1,Buch,10,s,405
1,Lamm,_0,s,329
0,Wurm,80,s,0
1,Bein,20,s,578
1,Wurm,30,h,278
0,Arm,60,h,0
1,Lamm,_0,h,454
1,Wurm,40,s,391
1,Heim,20,s,501
0,Bein,_0,h,0
0,Wurm,50,s,0
0,Bahn,100,s,0
0,Bein,50,h,0
0,Baum,40,s,0
0,Bein,100,h,0
1,Arm,30,s,794
1,Bein,_0,s,468
0,Huhn,80,h,0
0,Lamm,60,h,0
1,Huhn,10,s,654
0,Bahn,30,h,0
0,Bein,20,h,0
1,Huhn,10,h,250
0,Helm,80,s,0
0,Buch,60,s,0
0,Helm,40,h,0
0,Bahn,50,h,0
0,Baum,100,s,0
0,Bein,60,s,0
1,Heim,_0,h,469
1,Bein,10,s,328
1,Heim,40,s,346
0,Huhn,80,s,0
0,Buch,20,h,0
1,Baum,10,h,438
1,Huhn,30,h,360
0,Bahn,60,h,0
1,Arm,50,s,467
1,Huhn,30,s,686
0,Lamm,80,h,0
0,Heim,40,h,0
0,Buch,20,s,0
0,Arm,100,h,0
1,Baum,_0,s,156
1,Arm,30,s,93
0,Bahn,40,s,0
1,Heim,_0,h,235
0,Helm,80,s,0
0,Wurm,60,h,0
0,Lamm,60,s,0
0,Helm,100,h,0
1,Bahn,10,s,282
0,Heim,100,s,0
1,Helm,20,h,548
0,Bein,50,h,0
1,Bahn,20,s,419
0,Helm,80,h,0
1,Huhn,40,h,485
1,Heim,30,h,1047
1,Bein,10,h,297
1,Baum,_0,s,234
1,Arm,50,s,1348
1,Huhn,_0,s,235
1,Baum,_0,h,219
1,Buch,30,s,595
0,Helm,60,h,0
1,Heim,40,h,453
0,Bahn,50,s,0
0,Arm,50,h,0
0,Huhn,100,s,0
0,Heim,80,s,0
1,Wurm,30,h,470
1,Baum,20,s,296
1,Arm,20,h,813
1,Bahn,10,h,174
1,Wurm,40,s,218
1,Heim,10,s,296
0,Helm,60,s,0
0,Bahn,80,h,0
0,Bein,100,h,0
1,Buch,10,s,1781
0,Wurm,60,h,0
1,Buch,40,h,983
0,Bahn,50,s,0
0,Bein,30,h,0
0,Bahn,50,h,0
1,Arm,10,h,594
0,Heim,80,h,0
0,Buch,80,s,0
1,Bahn,20,h,159
1,Arm,_0,h,235
1,Baum,30,s,391
0,Arm,100,h,0
1,Heim,20,s,296
1,Lamm,_0,s,199
0,Buch,100,s,0
1,Arm,40,s,1360
0,Wurm,60,s,0
